Code,Long,Lat,Flag
50306708,130.975,33.8333333333333,1
,130.9875,33.8333333333333,0
,130.9875,33.8416666666667,0
,130.975,33.8416666666667,0
,130.975,33.8333333333333,0
50306717,130.9625,33.8416666666667,1
,130.975,33.8416666666667,0
,130.975,33.85,0
,130.9625,33.85,0
,130.9625,33.8416666666667,0
50306718,130.975,33.8416666666667,1
,130.9875,33.8416666666667,0
,130.9875,33.85,0
,130.975,33.85,0
,130.975,33.8416666666667,0
50306726,130.95,33.85,1
,130.9625,33.85,0
,130.9625,33.8583333333333,0
,130.95,33.8583333333333,0
,130.95,33.85,0
50306727,130.9625,33.85,1
,130.975,33.85,0
,130.975,33.8583333333333,0
,130.9625,33.8583333333333,0
,130.9625,33.85,0
50306728,130.975,33.85,1
,130.9875,33.85,0
,130.9875,33.8583333333333,0
,130.975,33.8583333333333,0
,130.975,33.85,0
50306729,130.9875,33.85,1
,131,33.85,0
,131,33.8583333333333,0
,130.9875,33.8583333333333,0
,130.9875,33.85,0
50306735,130.9375,33.8583333333333,1
,130.95,33.8583333333333,0
,130.95,33.8666666666667,0
,130.9375,33.8666666666667,0
,130.9375,33.8583333333333,0
50306736,130.95,33.8583333333333,1
,130.9625,33.8583333333333,0
,130.9625,33.8666666666667,0
,130.95,33.8666666666667,0
,130.95,33.8583333333333,0
50306737,130.9625,33.8583333333333,1
,130.975,33.8583333333333,0
,130.975,33.8666666666667,0
,130.9625,33.8666666666667,0
,130.9625,33.8583333333333,0
50306738,130.975,33.8583333333333,1
,130.9875,33.8583333333333,0
,130.9875,33.8666666666667,0
,130.975,33.8666666666667,0
,130.975,33.8583333333333,0
50306739,130.9875,33.8583333333333,1
,131,33.8583333333333,0
,131,33.8666666666667,0
,130.9875,33.8666666666667,0
,130.9875,33.8583333333333,0
50306743,130.9125,33.8666666666667,1
,130.925,33.8666666666667,0
,130.925,33.875,0
,130.9125,33.875,0
,130.9125,33.8666666666667,0
50306744,130.925,33.8666666666667,1
,130.9375,33.8666666666667,0
,130.9375,33.875,0
,130.925,33.875,0
,130.925,33.8666666666667,0
50306745,130.9375,33.8666666666667,1
,130.95,33.8666666666667,0
,130.95,33.875,0
,130.9375,33.875,0
