Long,Lat
136.9625,35.1416666666667
136.975,35.1416666666667
136.975,35.15
136.9625,35.15
136.9875,35.1416666666667
136.9875,35.15
136.9125,35.15
136.925,35.15
136.925,35.1583333333333
136.9125,35.1583333333333
136.9375,35.15
136.9375,35.1583333333333
136.95,35.15
136.95,35.1583333333333
136.9625,35.1583333333333
136.975,35.1583333333333
136.9875,35.1583333333333
137,35.15
137,35.1583333333333
136.925,35.1666666666667
136.9125,35.1666666666667
136.9375,35.1666666666667
136.95,35.1666666666667
136.9625,35.1666666666667
136.975,35.1666666666667
136.9875,35.1666666666667
137,35.1666666666667
136.9375,35.175
136.925,35.175
136.95,35.175
136.9625,35.175
136.975,35.175
136.9875,35.175
137,35.175
136.9375,35.1833333333333
136.925,35.1833333333333
136.95,35.1833333333333
136.9625,35.1833333333333
136.975,35.1833333333333
136.9875,35.1833333333333
136.95,35.1916666666667
136.9375,35.1916666666667
136.9625,35.1916666666667
136.975,35.1916666666667
136.9875,35.1916666666667
136.9875,35.2
136.975,35.2
136.9,35.1666666666667
136.9125,35.175
136.9,35.175
136.9125,35.1833333333333
136.9,35.1833333333333
136.9125,35.1916666666667
136.9,35.1916666666667
136.925,35.1916666666667
136.9375,35.2
136.925,35.2
136.95,35.2
136.9625,35.2
136.8875,35.1833333333333
136.8875,35.1916666666667
136.9,35.2
136.8875,35.2
136.9125,35.2
136.9125,35.2083333333333
136.9,35.2083333333333
136.925,35.2083333333333
136.9375,35.2083333333333
136.95,35.2083333333333
136.8875,35.2083333333333
136.9,35.2166666666667
136.8875,35.2166666666667
136.9125,35.2166666666667
136.925,35.2166666666667
136.9375,35.2166666666667
136.9125,35.225
136.9,35.225
136.925,35.225
136.9375,35.225
136.95,35.2166666666667
136.95,35.225
136.9125,35.2333333333333
136.9,35.2333333333333
136.925,35.2333333333333
136.9375,35.2333333333333
136.8875,35.2333333333333
136.9,35.2416666666667
136.8875,35.2416666666667
136.9125,35.2416666666667
136.925,35.2416666666667
136.9375,35.2416666666667
136.925,35.25
136.9125,35.25
136.9375,35.25
136.8625,35.175
136.875,35.175
136.875,35.1833333333333
136.8625,35.1833333333333
136.875,35.1916666666667
136.8625,35.1916666666667
136.875,35.2
136.8625,35.2
136.85,35.2
136.8625,35.2083333333333
136.85,35.2083333333333
136.875,35.2083333333333
136.8625,35.2166666666667
136.85,35.2166666666667
136.875,35.2166666666667
136.8625,35.225
136.85,35.225
136.875,35.225
136.8625,35.2333333333333
136.85,35.2333333333333
136.875,35.2333333333333
136.875,35.1666666666667
136.8875,35.1666666666667
136.8875,35.175
136.8875,35.225
136.825,35.1416666666667
136.8375,35.1416666666667
136.8375,35.15
136.825,35.15
136.85,35.1416666666667
136.85,35.15
136.8625,35.1416666666667
136.8625,35.15
136.8375,35.1583333333333
136.825,35.1583333333333
136.85,35.1583333333333
136.8625,35.1583333333333
136.875,35.15
136.875,35.1583333333333
136.8375,35.1666666666667
136.825,35.1666666666667
